"Name","Location","Function Signature","Function Size"
"FUN_0000dd60","0000dd60","undefined FUN_0000dd60()","1"
"FUN_0000de5c","0000de5c","undefined FUN_0000de5c()","290"
"FUN_0000e0f4","0000e0f4","undefined FUN_0000e0f4()","68"
"FUN_0000e138","0000e138","undefined FUN_0000e138()","62"
"FUN_0000e18e","0000e18e","undefined FUN_0000e18e()","24"
"FUN_0000e1ae","0000e1ae","undefined FUN_0000e1ae()","14"
"FUN_0000e1bc","0000e1bc","undefined FUN_0000e1bc()","16"
"FUN_0000e200","0000e200","undefined FUN_0000e200()","184"
"FUN_0000e314","0000e314","undefined FUN_0000e314()","162"
"FUN_0000e494","0000e494","undefined FUN_0000e494()","42"
"FUN_0000e4b6","0000e4b6","undefined FUN_0000e4b6()","26"
"FUN_0000e4d0","0000e4d0","undefined FUN_0000e4d0()","26"
"FUN_0000e4ea","0000e4ea","undefined FUN_0000e4ea()","160"
"FUN_0000e58a","0000e58a","undefined FUN_0000e58a()","24"
"FUN_0000e5a2","0000e5a2","undefined FUN_0000e5a2()","22"
"FUN_0000e5d0","0000e5d0","undefined FUN_0000e5d0()","234"
"FUN_0000e6bc","0000e6bc","undefined FUN_0000e6bc()","40"
"FUN_0000e744","0000e744","undefined FUN_0000e744()","44"
"FUN_0000e770","0000e770","undefined FUN_0000e770()","14"
"FUN_0000e77e","0000e77e","undefined FUN_0000e77e()","14"
"FUN_0000e78c","0000e78c","undefined FUN_0000e78c()","14"
"FUN_0000e79a","0000e79a","undefined FUN_0000e79a()","196"
"GPPCUIInit","0000e85e","undefined GPPCUIInit()","320"
"FUN_0000ea7c","0000ea7c","undefined FUN_0000ea7c()","180"
"channel_cal_init","0000eb80","undefined channel_cal_init()","336"
"sflash_read_714000","0000ecd4","undefined sflash_read_714000()","12"
"sflash_program_714000","0000ece0","undefined sflash_program_714000()","12"
"maybe_initialize_channels","0000ed52","undefined maybe_initialize_channels()","84"
"FUN_0000edfc","0000edfc","undefined FUN_0000edfc()","28"
"FUN_0000ee18","0000ee18","undefined FUN_0000ee18()","98"
"FUN_0000ee7a","0000ee7a","undefined FUN_0000ee7a()","284"
"FUN_0000ef96","0000ef96","undefined FUN_0000ef96()","68"
"FUN_0000efda","0000efda","undefined FUN_0000efda()","140"
"FUN_0000f066","0000f066","undefined FUN_0000f066()","74"
"FUN_0000f2aa","0000f2aa","undefined FUN_0000f2aa()","28"
"FUN_0000f2c6","0000f2c6","undefined FUN_0000f2c6()","172"
"FUN_0000f372","0000f372","undefined FUN_0000f372()","134"
"FUN_0000f4a8","0000f4a8","undefined FUN_0000f4a8()","48"
"FUN_0000f4b2","0000f4b2","undefined FUN_0000f4b2()","150"
"FUN_0000f548","0000f548","undefined FUN_0000f548()","104"
"FUN_0000f5b0","0000f5b0","undefined FUN_0000f5b0()","28"
"filter_reset","0000f674","undefined filter_reset(undefined4 param_1\, undefined4 is_vadc)","102"
"FUN_0000f6da","0000f6da","undefined FUN_0000f6da()","60"
"filter_receive_sample","0000f716","undefined filter_receive_sample()","116"
"GPPFLTInit","0000f78a","undefined GPPFLTInit()","152"
"FUN_0000f844","0000f844","undefined FUN_0000f844()","62"
"cal_apply_maybe","0000f882","undefined cal_apply_maybe(undefined4 ch\, undefined4 isload\, undefined4 isbond\, enum cal_table table\, undefined4 value)","184"
"do_something_update_sflash_714000","0000f952","undefined do_something_update_sflash_714000()","54"
"FUN_0000f9d2","0000f9d2","undefined FUN_0000f9d2()","86"
"FUN_0000faac","0000faac","undefined FUN_0000faac(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8)","368"
"GPPCalInfo","0000fc1e","undefined GPPCalInfo()","328"
"FUN_0000fd66","0000fd66","undefined FUN_0000fd66()","94"
"FUN_0000fdc4","0000fdc4","undefined FUN_0000fdc4()","24"
"cal_update_vout_mv","0000fedc","undefined cal_update_vout_mv()","258"
"cal_update_iout","0000ffde","undefined cal_update_iout()","410"
"uart_tx_cmd_80","000101b0","thunk undefined uart_tx_cmd_80()","4"
"FUN_000101da","000101da","undefined FUN_000101da()","50"
"uart_ignore_ff","00010210","undefined uart_ignore_ff()","24"
"uart1_process_char","00010228","undefined uart1_process_char()","50"
"uart2_process_char","0001025a","undefined uart2_process_char()","50"
"FUN_0001028c","0001028c","undefined FUN_0001028c()","50"
"FUN_000102be","000102be","undefined FUN_000102be()","50"
"uart1_get_byte","000102f0","undefined uart1_get_byte()","50"
"uart2_get_byte","00010322","undefined uart2_get_byte()","50"
"uart3_get_byte","00010354","undefined uart3_get_byte()","50"
"uart4_get_byte","00010386","undefined uart4_get_byte()","50"
"GPPBufAlc","000103b8","void GPPBufAlc(void)","176"
